Tarih,Kapanış(TL),Min(TL),Max(TL),AOF(TL),Hacim(TL),Sermaye(mn TL),USDTRY,BIST 100,PiyasaDeğeri(mn TL),PiyasaDeğeri(mn USD),HalkaAçık PD(mn TL),HalkaAçık PD(mn USD)
03-01-2022,25.34,24.49,25.34,24.9,1351910568,3500,13.4463,1927,102340,7611,48693,3621
04-01-2022,26.19,25.45,26.33,25.93,2229221929,3500,13.211,1964,105770,8006,50325,3809
05-01-2022,26.75,25.71,26.87,26.17,2597778492,3500,13.3928,2005,108010,8065,51391,3837
06-01-2022,26.18,26.18,26.85,26.53,2740072937,3500,13.6598,2008,105700,7738,50292,3682
07-01-2022,26.54,26.23,27.02,26.63,3771672520,3500,13.7774,2033,107170,7779,50991,3701
10-01-2022,26.44,26.44,26.97,26.79,2089383933,3500,13.7442,2045,106750,7767,50792,3695
11-01-2022,27.53,26.45,27.79,27.15,5220723742,3500,13.7562,2046,111160,8081,52890,3845
12-01-2022,27.37,27.34,28.15,27.71,2590050967,3500,13.7456,2064,110530,8041,52590,3826
13-01-2022,27.41,27.06,27.77,27.5,2313117278,3500,13.5644,2071,110670,8159,52657,3882
14-01-2022,27.28,26.94,27.51,27.21,1630950904,3500,13.5298,2073,110180,8144,52424,3875
17-01-2022,26.49,26.49,27.28,26.83,1435799039,3500,13.5031,2086,106960,7921,50892,3769
18-01-2022,25.07,25.07,26.56,26.07,1771747223,3500,13.5352,1980,101220,7478,48160,3558
19-01-2022,25.43,24.36,25.69,25.06,1931484164,3500,13.5947,2042,102690,7554,48860,3594
20-01-2022,24.84,24.55,25.98,25.3,1747520597,3500,13.4673,2014,100310,7448,47727,3544
21-01-2022,24.91,24.22,25.12,24.73,1364722972,3500,13.4261,2011,100590,7492,47861,3565
24-01-2022,23.37,23.25,24.68,23.88,1437196110,3500,13.4087,1910,94360,7037,44896,3348
25-01-2022,23.64,22.83,23.87,23.4,1078790292,3500,13.5243,1945,95480,7060,45429,3359
26-01-2022,23.57,23.57,24.36,23.95,1258535858,3500,13.5272,1951,95200,7038,45296,3349
27-01-2022,24.09,22.9,24.09,23.55,1160096267,3500,13.6177,1998,97300,7145,46295,3400
28-01-2022,23.64,23.63,24.56,24.09,1135929097,3500,13.6311,1983,95480,7005,45429,3333
31-01-2022,23.64,23.64,24.13,23.88,676936918,3500,13.4257,2003,95480,7112,45429,3384
01-02-2022,23.92,23.78,24.32,24.06,1082752685,3500,13.391,2015,96600,7214,45962,3432
02-02-2022,23.66,23.49,24.23,23.9,772837630,3500,13.4529,2002,95550,7103,45463,3379
